GEO_ID,NAME,S1401_C01_001E
42001,"Adams County, Pennsylvania",23301
42003,"Allegheny County, Pennsylvania",274806
42005,"Armstrong County, Pennsylvania",12124
42007,"Beaver County, Pennsylvania",33191
42009,"Bedford County, Pennsylvania",8778
42011,"Berks County, Pennsylvania",101836
42013,"Blair County, Pennsylvania",26256
42015,"Bradford County, Pennsylvania",12395
42017,"Bucks County, Pennsylvania",142897
42019,"Butler County, Pennsylvania",42192
42021,"Cambria County, Pennsylvania",28610
42023,"Cameron County, Pennsylvania",778
42025,"Carbon County, Pennsylvania",12289
42027,"Centre County, Pennsylvania",58481
42029,"Chester County, Pennsylvania",134910
42031,"Clarion County, Pennsylvania",9058
42033,"Clearfield County, Pennsylvania",14155
42035,"Clinton County, Pennsylvania",9096
42037,"Columbia County, Pennsylvania",17182
42039,"Crawford County, Pennsylvania",17946
42041,"Cumberland County, Pennsylvania",58970
42043,"Dauphin County, Pennsylvania",62142
42045,"Delaware County, Pennsylvania",145871
42047,"Elk County, Pennsylvania",5748
42049,"Erie County, Pennsylvania",66283
42051,"Fayette County, Pennsylvania",24585
42053,"Forest County, Pennsylvania",776
42055,"Franklin County, Pennsylvania",32630
42057,"Fulton County, Pennsylvania",2767
42059,"Greene County, Pennsylvania",7489
42061,"Huntingdon County, Pennsylvania",9151
42063,"Indiana County, Pennsylvania",22385
42065,"Jefferson County, Pennsylvania",8115
42067,"Juniata County, Pennsylvania",4715
42069,"Lackawanna County, Pennsylvania",47976
42071,"Lancaster County, Pennsylvania",121674
42073,"Lawrence County, Pennsylvania",17862
42075,"Lebanon County, Pennsylvania",30394
42077,"Lehigh County, Pennsylvania",87808
42079,"Luzerne County, Pennsylvania",68730
42081,"Lycoming County, Pennsylvania",24974
42083,"McKean County, Pennsylvania",8547
42085,"Mercer County, Pennsylvania",23894
42087,"Mifflin County, Pennsylvania",8722
42089,"Monroe County, Pennsylvania",39169
42091,"Montgomery County, Pennsylvania",200392
42093,"Montour County, Pennsylvania",3456
42095,"Northampton County, Pennsylvania",72474
42097,"Northumberland County, Pennsylvania",15901
42099,"Perry County, Pennsylvania",8835
42101,"Philadelphia County, Pennsylvania",401265
42103,"Pike County, Pennsylvania",11318
42105,"Potter County, Pennsylvania",3219
42107,"Schuylkill County, Pennsylvania",27866
42109,"Snyder County, Pennsylvania",9370
42111,"Somerset County, Pennsylvania",12700
42113,"Sullivan County, Pennsylvania",859
42115,"Susquehanna County, Pennsylvania",7328
42117,"Tioga County, Pennsylvania",7980
42119,"Union County, Pennsylvania",10862
42121,"Venango County, Pennsylvania",9271
42123,"Warren County, Pennsylvania",7268
42125,"Washington County, Pennsylvania",43624
42127,"Wayne County, Pennsylvania",8722
42129,"Westmoreland County, Pennsylvania",70965
42131,"Wyoming County, Pennsylvania",5463
42133,"York County, Pennsylvania",99935
